Column1;Column2
Date;Nice
                    Lundi 1;0.0
                    Mardi 2;0.0
                    Mercredi 3;0.0
                    Jeudi 4;0.0
                    Vendredi 5;0.0
                    Samedi 6;2.6
                    Dimanche 7;0.0
                    Lundi 8;22.3
                    Mardi 9;18.8
                    Mercredi 10;0.0
                    Jeudi 11;0.0
                    Vendredi 12;0.0
                    Samedi 13;0.0
                    Dimanche 14;3.4
                    Lundi 15;0.0
                    Mardi 16;0.0
                    Mercredi 17;0.0
                    Jeudi 18;0.0
                    Vendredi 19;0.0
                    Samedi 20;0.0
                    Dimanche 21;0.0
                    Lundi 22;0.0
                    Mardi 23;0.0
                    Mercredi 24;0.0
                    Jeudi 25;0.2
                    Vendredi 26;5.4
                    Samedi 27;0.8
                    Dimanche 28;0.0
                    Lundi 29;0.0
                    Mardi 30;0.0
                    Mercredi 31;0.0
                    Jeudi 1;0.2
                    Vendredi 2;0.0
                    Samedi 3;0.0
                    Dimanche 4;2.4
                    Lundi 5;2.6
                    Mardi 6;1.8
                    Mercredi 7;0.0
                    Jeudi 8;0.0
                    Vendredi 9;2.6
                    Samedi 10;0.0
                    Dimanche 11;0.0
                    Lundi 12;6.1
                    Mardi 13;1.8
                    Mercredi 14;0.0
                    Jeudi 15;0.0
                    Vendredi 16;1.2
                    Samedi 17;3.2
                    Dimanche 18;0.0
                    Lundi 19;0.8
                    Mardi 20;1.0
                    Mercredi 21;0.0
                    Jeudi 22;0.0
                    Vendredi 23;5.2
                    Samedi 24;4.7
                    Dimanche 25;6.2
                    Lundi 26;0.0
                    Mardi 27;0.0
                    Mercredi 28;10.3
                    Jeudi 1;20.2
                    Vendredi 2;11.6
                    Samedi 3;6.9
                    Dimanche 4;9.1
                    Lundi 5;10.0
                    Mardi 6;0.0
                    Mercredi 7;0.0
                    Jeudi 8;0.0
                    Vendredi 9;0.0
                    Samedi 10;18.2
                    Dimanche 11;21.8
                    Lundi 12;0.0
                    Mardi 13;0.0
                    Mercredi 14;5.6
                    Jeudi 15;33.3
                    Vendredi 16;7.9
                    Samedi 17;5.6
                    Dimanche 18;4.7
                    Lundi 19;0.0
