Date,Nice
                    Vendredi 1,23.8
                    Samedi 2,27.6
                    Dimanche 3,3.4
                    Lundi 4,5.4
                    Mardi 5,0.0
                    Mercredi 6,0.0
                    Jeudi 7,0.0
                    Vendredi 8,0.0
                    Samedi 9,0.0
                    Dimanche 10,0.0
                    Lundi 11,0.0
                    Mardi 12,0.0
                    Mercredi 13,0.0
                    Jeudi 14,0.6
                    Vendredi 15,0.4
                    Samedi 16,0.0
                    Dimanche 17,0.0
                    Lundi 18,0.0
                    Mardi 19,2.4
                    Mercredi 20,11.3
                    Jeudi 21,4.6
                    Vendredi 22,18.0
                    Samedi 23,0.0
                    Dimanche 24,0.0
                    Lundi 25,0.0
                    Mardi 26,0.0
                    Mercredi 27,0.0
                    Jeudi 28,0.0
                    Vendredi 29,0.0
                    Samedi 30,4.4
                    Dimanche 31,0.0
                    Lundi 1,0.0
                    Mardi 2,0.0
                    Mercredi 3,0.0
                    Jeudi 4,0.0
                    Vendredi 5,0.0
                    Samedi 6,1.2
                    Dimanche 7,10.2
                    Lundi 8,3.2
                    Mardi 9,37.1
                    Mercredi 10,0.0
                    Jeudi 11,0.0
                    Vendredi 12,3.6
                    Samedi 13,4.4
                    Dimanche 14,0.0
                    Lundi 15,0.0
                    Mardi 16,0.0
                    Mercredi 17,0.0
                    Jeudi 18,0.0
                    Vendredi 19,0.0
                    Samedi 20,0.0
                    Dimanche 21,0.0
                    Lundi 22,0.0
                    Mardi 23,0.0
                    Mercredi 24,0.0
                    Jeudi 25,0.2
                    Vendredi 26,0.0
                    Samedi 27,0.0
                    Dimanche 28,0.0
                    Lundi 1,0.0
                    Mardi 2,0.0
                    Mercredi 3,0.0
                    Jeudi 4,0.0
                    Vendredi 5,0.0
                    Samedi 6,0.0
                    Dimanche 7,0.0
                    Lundi 8,0.0
                    Mardi 9,6.2
                    Mercredi 10,0.0
                    Jeudi 11,0.0
                    Vendredi 12,0.0
                    Samedi 13,0.0
                    Dimanche 14,0.0
                    Lundi 15,0.0
                    Mardi 16,0.0
                    Mercredi 17,2.0
                    Jeudi 18,0.2
                    Vendredi 19,0.0
                    Samedi 20,0.0
                    Dimanche 21,0.0
                    Lundi 22,0.0
                    Mardi 23,0.0
                    Mercredi 24,0.0
                    Jeudi 25,0.0
                    Vendredi 26,0.0
                    Samedi 27,0.0
                    Dimanche 28,0.0
                    Lundi 29,0.0
                    Mardi 30,0.0
                    Mercredi 31,0.0
                    Jeudi 1,0.0
                    Vendredi 2,0.0
                    Samedi 3,0.8
                    Dimanche 4,0.0
                    Lundi 5,0.0
                    Mardi 6,0.0
                    Mercredi 7,0.0
                    Jeudi 8,0.0
                    Vendredi 9,0.0
                    Samedi 10,30.9
                    Dimanche 11,5.0
                    Lundi 12,3.2
                    Mardi 13,0.2
                    Mercredi 14,0.0
                    Jeudi 15,0.0
                    Vendredi 16,0.0
                    Samedi 17,0.0
                    Dimanche 18,0.0
                    Lundi 19,0.0
                    Mardi 20,36.4
                    Mercredi 21,13.2
                    Jeudi 22,0.0
                    Vendredi 23,0.0
                    Samedi 24,0.0
                    Dimanche 25,1.2
